time,x,y,z,r
7.810402017,278.0081598,1.216451687,0,2.2
15.33056511,-366.0457918,6.086833513,0,2.2
15.5557391,368.9166264,-281.1792137,0,2.2
16.32141954,248.7778783,-495.3364773,0,2.2
25.07862589,298.5856541,-82.163756,0,2.2
27.40737915,43.34523058,63.37611034,0,2.2
39.17190263,-279.1620849,376.5618684,0,2.2
40.28662244,418.4586466,177.5848402,0,2.2
47.78728621,92.08457767,342.3330461,0,2.2
49.25695337,-153.7620905,426.1612869,0,2.2
57.9185494,-236.2214707,441.1158736,0,2.2
64.16741059,413.9154772,316.0191519,0,2.2
67.66572914,-80.26453869,-368.6053945,0,2.2
76.29598302,40.19151567,-153.369985,0,2.2
80.74796721,108.4421578,-291.4975055,0,2.2
97.3791591,326.2498284,367.3815372,0,2.2
101.535268,123.5631846,292.3302193,0,2.2
102.2862801,-323.2878384,-150.9983593,0,2.2
110.6639194,91.25735265,69.14053206,0,2.2
121.0459358,-10.73383301,305.1315403,0,2.2
122.7891804,47.90778009,333.1612447,0,2.2
128.7814478,199.5206198,-294.206323,0,2.2
132.1837242,-254.1888361,230.6802005,0,2.2
135.6072004,-313.3728544,303.4141642,0,2.2
148.3063434,-389.4168522,-456.8709636,0,2.2
155.8468516,-225.9407475,-392.8125958,0,2.2
160.0963651,-489.7499606,-64.91635014,0,2.2
161.6332786,129.3597228,-279.1187781,0,2.2
175.8139391,-204.8276948,380.6220662,0,2.2
179.7928042,-312.7134553,219.6875377,0,2.2
187.9551171,-404.7119477,213.0072935,0,2.2
194.1247905,-216.2441925,269.859657,0,2.2
198.2008926,-285.0756159,-169.2529738,0,2.2
204.9681916,-214.3962661,-271.3897482,0,2.2
209.895771,-28.59014253,126.3439592,0,2.2
210.5231408,49.49682109,-85.52075047,0,2.2
213.9745687,345.1131156,436.7810722,0,2.2
219.805441,488.5097008,142.4524189,0,2.2
227.5263402,-451.1319138,-113.099657,0,2.2
232.1339312,-267.8817486,355.1196608,0,2.2
232.1355907,143.3114272,-119.2074163,0,2.2
232.5140555,-338.5334371,-321.6901722,0,2.2
243.7650258,370.1458934,281.6594257,0,2.2
248.9435024,-282.5975737,-27.79141258,0,2.2
250.0520641,241.7550389,-240.5195956,0,2.2
252.2206813,153.0205132,192.3992459,0,2.2
256.527578,298.8855115,480.485079,0,2.2
256.8733966,-468.7524377,-253.746411,0,2.2
261.1934356,-270.4259713,290.2438026,0,2.2
261.5969413,204.6274991,262.3352442,0,2.2
262.0483578,-412.437491,-379.9602078,0,2.2
264.8129516,-469.4105168,338.9025946,0,2.2
280.6724907,-142.8650663,-38.26109524,0,2.2
289.8419013,89.78199147,-374.2186174,0,2.2
296.5421024,-447.7772726,36.3434731,0,2.2
298.2442792,-434.3363338,-203.4872492,0,2.2
300.0050167,-456.4988139,-324.2758067,0,2.2
302.4002636,-104.8492415,-420.7618293,0,2.2
303.142032,168.427046,-301.1009082,0,2.2
303.1476541,-301.9728882,-70.41138094,0,2.2
308.1468728,376.2664517,141.8117636,0,2.2
314.4401252,-67.61090456,-412.6208212,0,2.2
317.4852566,119.6414637,215.7305878,0,2.2
321.3625041,-209.5732571,-398.255189,0,2.2
326.5248961,115.2545735,-324.4009291,0,2.2
329.7974867,453.6599624,213.3215622,0,2.2
330.5867432,-51.98528348,385.2636744,0,2.2
340.2864766,-292.9501617,483.138361,0,2.2
348.0025073,-74.63270809,152.9069507,0,2.2
349.6109331,-55.42573524,-22.26364699,0,2.2
358.0471854,7.617486672,-412.2124451,0,2.2
361.0902728,25.73324981,58.9507947,0,2.2
371.5625798,-457.5708081,-318.8497706,0,2.2
372.6802997,-335.5809138,14.40206047,0,2.2
384.2440351,-49.77282038,108.9301489,0,2.2
386.3051605,207.9711706,333.2124901,0,2.2
394.5074326,277.5879083,-176.2494177,0,2.2
396.888796,277.1029995,488.8620933,0,2.2
397.3212116,2.778752509,494.95026,0,2.2
420.451408,456.7475933,326.1508194,0,2.2
442.0482338,-168.1262875,194.1525454,0,2.2
443.0398552,-18.54183765,233.6697981,0,2.2
458.9759163,248.3739993,375.2688098,0,2.2
465.935511,357.8395184,451.5101483,0,2.2
471.2010887,-85.53994487,352.2629266,0,2.2
476.1824727,348.6845143,140.9386398,0,2.2
478.4429634,-55.42905825,-426.5016153,0,2.2
480.1550107,215.7470843,123.3847143,0,2.2
499.2101398,-491.5516364,-146.7861082,0,2.2
507.9368912,-474.7985763,-335.2213768,0,2.2
510.5103024,440.4504935,393.1661866,0,2.2
512.3851756,-397.8620518,324.8904812,0,2.2
528.9913414,161.9677904,26.63842385,0,2.2
533.7120384,-216.7412562,-36.55074385,0,2.2
572.2453362,-299.1576562,-10.69871187,0,2.2
578.7306481,-111.6658179,-239.2799803,0,2.2
582.348188,425.9015965,-97.36207687,0,2.2
583.7464139,70.27420975,-63.33012027,0,2.2
589.8920672,416.714612,-484.9438658,0,2.2
596.3112069,202.2642408,392.9058831,0,2.2
